Unidad geográfica,Unidad temporal,Valor,Administración central,Organismos descentralizados,Empresas y entes públicos
Argentina,Año 2004,438485399.440000,100609142.1900,107030844.4000,230845412.8500,
Argentina,Año 2005,572659947.860000,128931359.0900,158670761.2600,285057827.5100,
Argentina,Año 2006,766367231.430000,174235328.6200,206090958.4900,386040944.3200,
Argentina,Año 2007,1303999194.920000,243791393.7300,276998928.8700,783208872.3200,
Argentina,Año 2008,1834524997.760000,395603791.1500,369617347.8900,1069303858.7200,
Argentina,Año 2009,2654899410.650000,497216175.6500,455680353.0600,1702002881.9400,
Argentina,Año 2010,2779041923.890000,949426968.6300,603929412.2900,1225685542.9700,
Argentina,Año 2011,4137126092.510000,1640518422.4100,842128668.7400,1654479001.3600,
Argentina,Año 2012,5121008415.470000,2121469969.5800,1075860215.3200,1923678230.5700,
Argentina,Año 2013,7291137978.520000,3253835832.2100,1472231066.1100,2565071080.2000,
Argentina,Año 2014,10647318956.150000,4883910204.3900,2067179136.3700,3696229615.3900,
Argentina,Año 2015,14750052005.770000,7144521135.5900,2702300315.0600,4903230555.1200,
Argentina,Año 2016,15851089816.720000,6039152474.3500,3617235269.4200,6194702072.9500,
Argentina,Año 2017,21196004917.200000,8232139587.5300,4865518542.1600,8098346787.5100,
Argentina,Año 2018,24027786327.390000,8563265665.1100,5884881242.6100,9579639419.6700,
Argentina,Año 2019,34164462306.840000,10375680939.5500,7147551496.3000,16641229870.9900,
