Nombre,Domicilio,Localidad,Departamento,Provincia,Otro Domicilio,Piso,CP,Teléfono,Mail,Web,Información adicional,Latitud,Longitud,Actividad Específica,Denominación Específica,Fuente,Sector,Categoría,Cantidad de exposiciones en el último año,Área (m²),Referente,Cantidad de artistas que expusieron en el último año
"Oliva Drys espacio de arte","Prat 675","Azul","Azul (Buenos Aires)","Buenos Aires","","","7300","2281632213","olivadrysarte@gmail.com","https://www.facebook.com/silvio.drys","","-36.77840000000000000000","-59.85624000000000000000","","","Fondo Desarrollar 2020","Artes Visuales","Galeria de arte","0","0","",""
"Isidoro, Espacio De Arte","Av. Casey 1052","Coronel Suarez","Coronel Suarez (Buenos Aires)","Buenos Aires","","","7540","","isidoroarte@gmail.com.ar","https://www.facebook.com/IsidoroArte","","-37.45977580000000000000","-61.93132350000000000000","","","Arte On line","Artes Visuales","Galeria de arte","0","0","",""
"Silencio (dispositivo sonoro poético)","Brandsen 3532","Mar del Plata","General Pueyrredon (Buenos Aires)","Buenos Aires","","","7600","","silenciodispositivosonoro@gmail.com","https://www.facebook.com/Silencio-183821545504151/","","-37.98399030000000000000","-57.54800750000000000000","","","Fondo Desarrollar 2021","Artes Visuales","Galeria de arte","0","0","",""
"Casa Intermitente","Génova 2036","Mar del Plata","General Pueyrredon (Buenos Aires)","Buenos Aires","","","7600","","casaintermitente@gmail.com","https://www.facebook.com/casaintermitente/","","-38.06465120000000000000","-57.55208990000000000000","","","Fondo Desarrollar 2021","Artes Visuales","Galeria de arte","0","0","",""
"Centro De Edición Taller Galería","Azcuénaga 4178","General San Martin","General San Martin (Buenos Aires)","Buenos Aires","","","1672","1151627192","centrodeedicion@gmail.com","https://www.facebook.com/CentroEdicion","","-34.59339850000000000000","-58.52592530000000000000","","","ArsOmnibús - relevamiento","Artes Visuales","Galeria de arte","0","0","",""
"Vincent Galería","Calle 473 y 17","La Plata","La Plata (Buenos Aires)","Buenos Aires","","","1896","","","https://www.instagram.com/vincent_galeria","","-34.87644000000000000000","-58.04842000000000000000","","","Fondo Desarrollar 2020","Artes Visuales","Galeria de arte","0","0","",""
"NN Galería","Calle 49  719","La Plata","La Plata (Buenos Aires)","Buenos Aires","","","1900","221155449761","nngaleria@gmail.com","https://www.facebook.com/GaleriaNN/","","-34.91650650000000000000","-57.95297790000000000000","","","Relevamiento SInCA","Artes Visuales","Galeria de arte","0","0","",""
"Cósmiko Galeria Club","Calle 71 749","La Plata","La Plata (Buenos Aires)","Buenos Aires","","","1904","2214523284","activacionmonaster@gmail.com","https://www.facebook.com/cosmikogaleriaclub","","-34.93282000000000000000","-57.93213000000000000000","","","Fondo Desarrollar 2020","Artes Visuales","Galeria de arte","0","0","",""
"Perro Verde Espacio De Arte","Libertad 82","Manuel J. Cobo","Lezama (Buenos Aires)","Buenos Aires","","","7116","224115569467","arteperroverde@gmail.com","Facebook: Perro Verde. Espacio de arte","","-35.87637920000000000000","-57.89948350000000000000","","","AAGA - Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Cariló Arte Contemporáneo","Avellano 264","Pinamar","Pinamar (Buenos Aires)","Buenos Aires","","","7167","2254570373","info@cariloarte.com.ar","www.cariloarte.com.ar","","-37.16750900000000000000","-56.90256000000000000000","","","AAGA","Artes Visuales","Galeria de arte","0","0","",""
"Mchg-María Casado Home Gallery","Juan Bautista de Lasalle 2156","San Isidro","San Isidro (Buenos Aires)","Buenos Aires","","","1643","111545416796","info@mariacasado.com.ar","https://www.facebook.com/mariacasadoHG","","-34.45521630000000000000","-58.52161620000000000000","","","Relevamiento SInCA 2016","Artes Visuales","Galeria de arte","0","0","",""
"Jacques Martínez","Roque Saenz Peña 267","San Isidro","San Isidro (Buenos Aires)","Buenos Aires","","4°","1642","1135892701","info@galeriajacquesmartinez.com","https://www.galeriajacquesmartinez.com/es","","-34.47274250000000000000","-58.50937340000000000000","","","Arte On line","Artes Visuales","Galeria de arte","0","0","",""
"BR Art Gallery-Bohnenkamp y Revale","Sebastián Elcano 406","San Isidro","San Isidro (Buenos Aires)","Buenos Aires","","","1640","11 47436184","brartgallery@gmail.com","www.brartgallery.com.ar","","-34.47021140000000000000","-58.49821880000000000000","","","Relevamiento SInCA","Artes Visuales","Galeria de arte","0","0","",""
"Galería Isidro Miranda","Estados Unidos 726","San Isidro","San Isidro (Buenos Aires)","Buenos Aires","","","1642","1143614034","","","","-34.54029780000000000000","-58.50785790000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Espacio  De Arte  Zona","Ibañez 1378","San Isidro","San Isidro (Buenos Aires)","Buenos Aires","","","1642","1131374699","espaciodeartezona@gmail.com","https://www.instagram.com/espaciodeartezona/","","-34.45901590000000000000","-58.52450950000000000000","","","MAPA- Feria de Arte","Artes Visuales","Galeria de arte","0","0","",""
"Isla de Arte","Av. de los Lagos 3115","Tigre","Tigre (Buenos Aires)","Buenos Aires","","","1648","1153273863","contacto@isladearte.com","","","-34.42262890000000000000","-58.65879540000000000000","","","MAPA- Feria de Arte","Artes Visuales","Galeria de arte","0","0","",""
"Milo Espacio De Arte","Boulevard de Todos Los Santos 100","Tigre","Tigre (Buenos Aires)","Buenos Aires","","Loc.27 1º","1623","1150034229","ventas@milolockett.com.ar","https://www.tiendamilolockett.com.ar/","","-34.39104240000000000000","-58.71450020000000000000","","","AAGA - Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Casa Florida","Gral. José María Paz 1530","Vicente Lopez","Vicente Lopez (Buenos Aires)","Buenos Aires","","","1602","1147918220","casafloridacafe@gmail.com","https://www.facebook.com/lacasa.florida","","-34.52725220000000000000","-58.49144110000000000000","","","ArsOmnibús - relevamiento","Artes Visuales","Galeria de arte","0","0","",""
"Abate Galería","Pasaje Bollini 2170","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1425","","","https://www.facebook.com/AbateGaleria/","","-34.58716500000000000000","-58.40402640000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Acéfala Galería","Niceto Vega 4754","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1414","","contacto@acefalagaleria.com","http://acefalagaleria.com/","","-34.59264300000000000000","-58.43100970000000000000","","","Relevamiento SInCA","Artes Visuales","Galeria de arte","0","0","",""
"Adriana Budich","Gurruchaga 1145","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1414","1148249800","galeria@adrianabudich.com","http://www.adrianabudich.com/","","-34.59252240000000000000","-58.43436120000000000000","","","Buenos Aires Data - SInCA","Artes Visuales","Galeria de arte","0","0","",""
"Ag Espacio De Arte","Av. Alvear 1580","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","P.B.","1014","1148152271","info@espacioag.com","http://ag-espaciodearte.blogspot.com/","","-34.58997070000000000000","-58.38563400000000000000","","","Arte On line","Artes Visuales","Galeria de arte","0","0","",""
"Aldo De Sousa Galería De Arte","Arroyo 858","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1007","1143930803","arroyo@aldodesousa.com.ar","https://aldodesousa.com/","","-34.59180500000000000000","-58.37929900000000000000","","","AAGA - Buenos Aires data","Artes Visuales","Galeria de arte","0","0","",""
"Alejandro Faggioni, Estudio De Arte","Sargento Cabral 881","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","5°","1059","1143939995","alejandrofaggioni@sinectis.com.ar","http://www.alejandrofaggioni.com/","","-34.59467850000000000000","-58.37965820000000000000","","","Arte On line - Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Arcimboldo, Galería De Arte","Reconquista 761","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","P.B.","1003","","pelusaborthwick@gmail.com","https://www.facebook.com/pages/Galeria-Arcimboldo","","-34.59900290000000000000","-58.37273860000000000000","","","Arte On line - Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Áreatec","Av. de Mayo 1190","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","1°","1085","1146546579","rrss@areatec.com.ar","http://www.areatec.com.ar/","","-34.60915550000000000000","-58.38302770000000000000","","","Arte On line - Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Arroyo","Arroyo 830","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1007","1143253485","info@galarroyo.com","www.galarroyo.com","","-34.59218000000000000000","-58.37909600000000000000","","","AAGA","Artes Visuales","Galeria de arte","0","0","",""
"Atocha – Club De Grabado Y Obra Gráfica Contemporánea","Batalla del Pari 613","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1416","1147709384","info@atochagaleria.com.ar","https://www.facebook.com/AtochaGaleria","","-34.60014950000000000000","-58.45383800000000000000","","","Mercado de Arte - relevamiento SInCa","Artes Visuales","Galeria de arte","0","0","",""
"BARRO Arte Contemporáneo","Caboto 531","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1157","1149783759","galeria@barro.cc","http://www.barro.cc","","-34.62874960000000000000","-58.35970480000000000000","","","Buenos Aires Data - Relevamiento SINCA","Artes Visuales","Galeria de arte","0","0","",""
"Beta  Sur","Caboto 725","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1157","1150139330","betaorg.sur@gmail.com","https://www.instagram.com/beta.sur/","","-34.63024730000000000000","-58.35714490000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Bolmani Modern Art","Honduras 5550","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1414","","info@bolmanimodernart.com","https://www.facebook.com/BolmaniMA/","","-34.58455060000000000000","-58.43589340000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Buenos Aires Fine Art","Cuba 1930","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1428","","info@buenosairesfinearts.com","https://www.buenosairesfinearts.com/","","-34.56234540000000000000","-58.45354570000000000000","","","Fondo Desarrollar 2021","Artes Visuales","Galeria de arte","0","0","",""
"Calvaresi","Defensa 1136","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1065","","info@calvaresicontemporaneo.com","Facebook: Calvaresi","","-34.62114370000000000000","-58.37134850000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Camargo 1020 Espacio de Arte","Camargo 1020","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1414","","camargo1020espaciodearte@gmail.com","https://www.facebook.com/Camargo1020EspacioDeArte","","-34.59601460000000000000","-58.44496000000000000000","","","Fondo Desarrollar 2021","Artes Visuales","Galeria de arte","0","0","",""
"Camarones Arte Contemporáneo","Camarones 1645","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1416","1145855738","info@camaronesarte.com","https://www.facebook.com/camaronesarte/","","-34.60464000000000000000","-58.46484000000000000000","","","Buenos Aires Data - Relevamiento SINCA","Artes Visuales","Galeria de arte","0","0","",""
"Casa Barneau","Pedro de Mendoza 1673","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1169","","jbarneau2@gmail.com","https://www.instagram.com/casabarneau/","","-34.63874000000000000000","-58.35805000000000000000","","","Fondo Desarrollar 2020","Artes Visuales","Galeria de arte","0","0","",""
"Cefuri Espacio de Arte","Patagones 2740","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1437","","info@cefiroarte.com.ar","https://www.facebook.com/cefiroarte","","-34.63745260000000000000","-58.40067600000000000000","","","Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Centoira Galería De Arte","French 2611","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1425","1148055603","centoira@artecentoira.com.ar","https://www.facebook.com/ArteCentoira","","-34.58967890000000000000","-58.40096000000000000000","","","AAGA - Buenos Aires Data","Artes Visuales","Galeria de arte","0","0","",""
"Centro Newbery, Galería De Arte","Jorge Newbery 3599","Ciudad Autonoma de Buenos Aires","CABA (Ciudad Autónoma de Buenos Aires)","Ciudad Autónoma de Buenos Aires","","","1427","1145535723","centralnewbery@gmail.com","http://www.centralnewbery.com.ar/","","-34.58358300000000000000","-58.44929300000000000000","","","Buenos Aires Data - Relevamiento SINCA 2022","Artes Visuales","Galeria de arte","0","0","",""
